,symbol,timestamp,open,high,low,close,volume,trade_count,vwap,SMA21,Position,Returns,Strategy
0,BTC/USD,2022-12-31 06:00:00+00:00,16534.08,16632.33,16466.86,16522.29,2451.303965503,46865.0,16546.4119349718,,0,,
1,BTC/USD,2023-01-01 06:00:00+00:00,16525.0,16695.31,16495.06,16642.78,1651.559056837,34627.0,16578.5604866654,,0,0.007292572639749029,0.0
2,BTC/USD,2023-01-02 06:00:00+00:00,16644.37,16779.0,16630.47,16718.82,2285.656433051,41468.0,16708.4519332608,,0,0.004568948216584046,0.0
3,BTC/USD,2023-01-03 06:00:00+00:00,16721.01,16900.0,16600.0,16850.59,3790.536364256,64904.0,16722.3149669467,,0,0.00788153709412498,0.0
4,BTC/USD,2023-01-04 06:00:00+00:00,16852.62,16984.54,16760.57,16840.5,4847.939963443,81942.0,16848.8578438445,,0,-0.0005987920897725374,-0.0
5,BTC/USD,2023-01-05 06:00:00+00:00,16838.47,16873.28,16755.45,16803.47,2580.410942528,57481.0,16822.7081365567,,0,-0.0021988658293993213,-0.0
6,BTC/USD,2023-01-06 06:00:00+00:00,16803.36,17022.87,16675.0,16926.62,4927.378570204,68356.0,16847.1496301761,,0,0.0073288433877050085,0.0
7,BTC/USD,2023-01-07 06:00:00+00:00,16926.6,16949.0,16900.9,16936.0,1044.522619881,20189.0,16925.4861208911,,0,0.0005541567070095343,0.0
8,BTC/USD,2023-01-08 06:00:00+00:00,16935.27,17248.53,16910.0,17196.67,4781.20340018,60226.0,17095.0696564978,,0,0.015391473783656018,0.0
9,BTC/USD,2023-01-09 06:00:00+00:00,17198.94,17387.05,17126.73,17221.37,6368.899439559,89030.0,17245.5550651889,,0,0.0014363245907493827,0.0
10,BTC/USD,2023-01-10 06:00:00+00:00,17221.1,17500.0,17182.07,17402.92,7089.789337217,85549.0,17355.3076257628,,0,0.010542134568852557,0.0
11,BTC/USD,2023-01-11 06:00:00+00:00,17401.42,18350.0,17312.68,18079.38,11653.487204555,130595.0,17807.7990060013,,0,0.03887048840079732,0.0
12,BTC/USD,2023-01-12 06:00:00+00:00,18079.4,19109.28,17919.62,18780.68,17774.752564613,203169.0,18422.7280309437,,0,0.03879004700382427,0.0
13,BTC/USD,2023-01-13 06:00:00+00:00,18780.19,21239.83,18775.69,20826.93,20324.633774182,255132.0,19722.3034017406,,0,0.1089550538106181,0.0
